,sadness Tweets
693, Lockdown4  Dear my Indians  What is your opinion on  India s  extension  of  Lockdown  should it be continued Lockdownextention   IndiaFightsCOVID19   CoronavirusLockdown   
694,So lockdown  extension  is inevitable Difficult time ahead for the country   India  reports 37  Covid  19  deaths 896 cases in 24 hours biggest jump in a day  httpswww hindustantimescomindianewsind iareports37deaths896newcasesin24hourstotalcounttouches6761storysPvmSfx7RLbUA3G1IaT7vNhtml   …
695,Dont we need a national govt now to deal with this unprecedented  situation  in India due to  covid19   https twittercomMahilaCongress status1269303208477749248   …
696,The sarpanch of Manuke village in Ludhiana is not only helping authorities make preparations for the last rites of Gurjant Singh Nanded returnee who died of COVID19  but also sensitising the villagers about the  situation   mohitk1  reports httpswww hindustantimescomcitiesmanuke villageshowsthewaygivesadecentfuneraltocovidvictimstoryo4QmuSUd0FlgEl882JDIJJhtml   …
697, DHSWolf   ICE is taking advantage of the COVID19   situation  to try to separate families once again  That’s why we’re calling on DHSWolf   DHSgov  to stop Family Separation 20 from happening  Not on our watch   Families4Families  DontLookAway  Covid19  ICE pictwittercom3FWmlvqQ3c
698,I want ask  To govt of  india  and fianance minster wht for common man todays condition  lockdown  stay home we are keeping your words you cannot postpone emi date further we dont ask wavier on that some  extension  period its deaf what to do
699,Disturbing isnt a strong enough word to describe this awful  situation  122 COVID19  cases and 22 deaths at one nursing home defines poor care Immunity must be rescinded virtual visitation made available  staffingproper care fixed now twill httpswww chicagotribunecomcoronavirusct coronavirusillinoisbriaofgenevalawsuit20200519v2p3kelv3zepjfivjy25vex2gestoryhtml   …
700,Syria  is facing the spectre of famine  notes one Syrian NGO worker This winter the humanitarian   situation  was truly dire and it will be worse next year” reports ecfr ’s jbdacey  explaining the potential COVID19  fallout in Syria  — and what can be done to address it https twittercomjbdaceystatus 1253634599277731840   …
701,Tough times don’t last but tough people do   Covid19  pandemic has lead to loss of many jobs  Keeping in mind the gravity of the  situation  we welcome all media fraternity professionals to come  work with us at Designboxed  So hurry up  share your resumes with us  pictwittercomNDAkcLhpyD
702,Days after Gujarat HC slams state govt over Covid19   situation  judges replaced  THIS IS HOW MODIS FAKE GUJARAT MODEL THRIVED
703,Personally we are doing fine selfisolating eLearning homeoffice etc sind midmarch  thanks for asking BrandonVanZee    but the  situation  in the country is dire indeed and likely still to get worse before it gets better Expect  COVID19  peak only midjune 
704,When  COVID19  infects you or your loved ones then you get to know how serious it is  how bad illness it causes Prayers needed for my closest friends speedy recovery   Please please keep her in your prayers Its getting hard to cope with this  situation  tbh coronavirus
705, vijayrupanibjp   Hello sirmy father gov retire pentioner he lives in suratand his pf ac in unjha sbi  so he gives life certificate in banks in may to July but current  situation  in  covid19 I dont go at unjha so he gives 2 months actention  take decision and circular in news
706,But for the recent spike in ChineseVirus19  courtesy the made in Markaz plot   India  wouldve gone to work on April 15th  Sadly  Lockdown  may now be longer  KCR seeks  extension  of  lockdown  by couple of weeks  http telanganatodaycomp418431    via TelanganaToday
707,Yes Sant Shri Asharamji Bapu is 84 yrs old  He is innocent but still court gave him life time imprisonment Now in CoronaVirusPandemic   situation  prisons are not safe for senior citizens GrantParoleToSecurePrisoners  ReleaseAsharamjiBapuOnParole  lockdownindia  COVID19
708,No one expected  COVID19  scenario in the world  hitting economy so badly however in such  situation  also Modi Govt has done fantastic job in slowing pandemic multiplication Well done narendramodi  drharshvardhan  MoHFWINDIA   now economy engine has restarted to grow faster 
709,I can see the damage there has been to ancient woodland  as well as the spiralling costs  And I genuinely think this horrible  Covid19   situation  will have made many companies and people realise that so much business travel is not needed
710,Manipulating the number of deaths from  covid19  to fool the fools who believe An ill equipped uninformed society such as ours is will not improve until we are honest about our  situation  The virus is spreading and many will die  https twittercomSquireForYous tatus1265553065056362497   …
711, CancelTSExamsPromoteStudents  In this difficult  situation   covid19  we are the students of JNTUHwe wont need this semester to be conductwe request TS govt to cancel this semester Nd promote us
712,8 621 243 people infected 457 326 deaths and 4 564 642 people recovered from coronavirus  covid19     Find below the report  situation  of the 19th of June to follow the evolution of the pandemic  all over the world    Here is a link to access to the PDF  httpswww hcfdcorgajaxgetAttach ement1592576940InfographieInter1906202015Hpdf   … pictwittercomCHK40C4ePV
713, Shame  On Human community India COVID19   situation  Very  bad to BPL families pictwittercomJrp0fNXaKG
714,Is the  situation  you find yourself in with  COVID19  causing you Anxiety or Depression   Download this free ebook authored by John McConnel of BrahmaKumarisUK   https bitly34Eg3dK        http peopledevelopmentmagazinecom   pictwittercomkt2DWG5RRl
715,Our battle against  COVID  19  continues   The Govt has extended  lockdown  across  India  till May 31 2020   Lockdown4
716, KPAnbalaganoffl  Students  soda  Situation  na purinjikonga Avanga Already  Covid19  Nala Depression Aairukaanga Neenga Avanga lulu Nambikka dha Kudukanum Innum avangala Depression panna Koodathu CancelTNSemesterExams  CancelTNExamsPromoteStudents  CancelAUExamsTN
717,Interview So ist die  Situation  auf Intensivstationen  httpwww tagesschaudeinlandintensi vstationeninterview101html   …  Covid19  Intensivstation
718,Alarming  situation  for Pakistan Victims  of Covid19  ShahbazSharif  ShaikhRasheed   Many more death cases Responsible ImranKhan   SCOP should take Somoto against Him  his lossers For God Sake plz پاکستاني عوام په رحم کرين، جان چهوڙ دين جائو  گهر تيل ليني
719,Sir Today I came to know that Non symptom Positive person allow to go home for isolate It is not correct but I accept this  situation  But Govt provide Medicine or Allow to buy Medicine which are cure  Covid19   I know govt burden so some people ready to pay so collect minimum fee
720,You also have the responsibility to protect 57 million SA from the  social ills of alcohol especially under the current  COVID19   SITUATION 
721,Where are the riots Islamabad or Delhi Where is the political  lockdown  Kashmir or Baluchistan  As for “cheap shots” all the Pak minister said was to  unlock  JK so we know what’s going on  India ’s reflexive immature defensiveness shows it cannot justify its actions
722,I remember thinking to myself that how could a boss sacrifice her sleep in this rain During this whole COVID19  periodI have watched her work long hoursget little sleepskip mealsencounter risky situations but still ensure the  situation  isnt as worse as it would have been
723,Yea not sure HEB  was the problem   Since they have been very proactive with COVID19   And ahead of the curve on almost every  situation    Your dead on with State and Federal leadership
724,So the  situation  is not improved therefore the govt is downgrading the COVID19  threat Am I missing something  https twittercomSamCoatesSkys tatus1273980692381282309   …
725,The current  situation  we are facing globally can be a difficult time Facing uncertain times and an uncertain future you may feel the same way – feeling hopeless stressed anxious or lonely You are not alone  ConfideIn  weareconfidein  confideinfamily  pandemic  covid19   pictwittercomgEQNzGzSwe
726,I am very confused about why Americans are reacting like this Do they not understand the seriousness of the  situation  Or is it all about the economy COVID19   https twittercomaxiosstatus1 257837484240769024   …
727,Today I came across this promotion for an event held on 515 to honor those who have died from COVID19  Calling those who have died victims  and a number is not the best communication strategy in this  situation  and is bad copywriting coloradogov pictwittercomhq2qMHmXyc
728, narendramodi  dear sir if you gonna  unlock  the  lockdown  than the  india  will be in trouble i know all are facing problems me too but we have to thing for future and we believe in god and our god is you modi sir Namo  PMOIndia
729,Suicide due to depression Depression due to economy  situation  Economy  situation  due to  Covid19  pandemic  Covid19  pandemic due to China
730,Anyone confused with the current  situation  with Mr Cummings is that we are all experiencing live gaslighting  plus an unprecedented open door to anyone of us now taking it upon ourselves to follow his lead  excaserbate the Covid19  spread  potential more loss of lives wtf
731,Lockdown  has been extended for another decade in  India   year 2075 Lockdown3
732,Dear admins please charge us only tuition fees not other funds as we use our own resources during such a difficult  situation  COVID19  Almost all students are not able to pay a big amount private institutions are recommended to get 80 feethis is a govt sector so why
733, गहलोतकुछतोकरोना   Everyday jodhpur  COVID19  cases rate is more than by comparing with other city Lack of medical facility AIIMS Jodhpur  MDM and MGH is not able to control  situation  critical  conditionPolices Teachers Govt Emp and Doctors feeling helpless
734,Thank you Ellen I lost my brother from  COVID19  on Wednesday he leaves behind 2 babies  a wife his children have nothing right now and none of us are in a good  situation  to help Im heartbroken  we are trying to get donations to send to his wife so they kids could eat melhen40
735,Governor NASIR el’rufai of kaduna state has said Nigeria’s economy is going in to a state of depression The governor said all the states are presently dealing with very difficult  situation  as they battle  COVID19   pandemic Allah yakawo mana SAUKI
736,Same as these existing laws gives people to do anarchy and create worst laws and order  situation  many times this  covid19  is not a normal  situation  many things happening for first time we will learn with time
737,Every one in emotionally sad   But China want war because there   Want change there  situation  to here   COVID19
738, covid19schools where suspended when we had less than 50 cases and now schools are about to reopen with over 5k cases of Corona infected patientand the government is not having control over the  situation I wonder where we are heading toschoolreopening
739,Coronavirus  India   Lockdown  Live Updates Over 1000 cases 38 deaths in one day as tally crosses 11000mark coronavirusinindia  CoronavirusPandemic  covidindia  Covid19India  Lockdown2     httpswww businesstodayincurrenteconom ypoliticscoronavirusindialockdownliveupdatesguidelinesbandramumbaicovid19casesstatewise15aprstory401014html   … pictwittercomfcNiLaHfZ7
740,UNLOCK  1  INDIA  After 5 months of struggle to contain the virus govts of cuntries ravaged most by it realised that  lockdown  s not capable of containingcontrolling the spread of the virus  Covid  19  has an independent dynamics of its own ICMRs STATEMNT today is significant
741,This was a nowin  situation  The Governors and Mayors were damned either way  States that opened too early will need more shutdowns with second waves and resurgences  States that waited too long to open up will see unrecoverable business and job losses  Coronavirus  Covid19
742,People complaining about a lack of decorum from a past president Which seems a bit rich tbh Also it’s clearly a distraction from the fact they’ve completely arsed up the  covid19   situation  And people are falling for it 
743,I am beyond disgusted but not surprised that the  COVID19   situation  in prisons is being ignored and covered up by ARGOP  AsaHutchinson  ADHPIO  In an effort to downplay the severity of the pandemic in Arkansas theyre ignoring the pain and suffering of those most vulnerable
744,“Some people are very vulnerable  if we dont go out to the communities and inform them the  situation  might turn disastrous  people will die” says Zahra one of unicefsomalia ’s community mobilizers working in the frontlines combatting COVID19   https sharesaH8ddg  
745, FlyWideroe  Do I still not get refund or  extension  for my March 16 flight in Norway  I am from  India  and I have cancelled my trip due to  Covid  19  breakout  IATA  WHO   Please help this airline is rejecting any plea
746,Some of the students are in a very poor condition and only eat 1 meal a day Due to  COVID19  crisis thier  situation  is very bad PromoteStudentsSaveFuture
747,There are urban areas in Venezuela that have not had   running   water   in over 15 days I do not expect the  situation  in rural regions to be any better  How are these communities expected to stop COVID19  if these are the cards they have been dealt
748,Theyve sent him out firstBoth federal and Punjab health Minister with their vast medical experience were saying if he does not go hell die Now this Pic and so on is bull shit and an effort to divert public from deteriorating  Covid19   situation  in Pakistan Its a cheap shot
749,France said it would extend the  lockdown  aimed at slowing the spread of the  COVID  19  as the death toll soared across Europe  though  India  is still considering a fullfledged  extension  of nationwide  lockdown   lockdown  COVID19  CoronavirusPandemic  Earth   CoronavirusOutbreak pictwittercom5fWdjTZu5F
750, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercom45CcyyYkMs
751,5  Covid19  makes prisons jails even more dangerous right now It is deeply important we get protestors out as soon as possible It is a life and death  situation  Not everyone is out protesting but anyone can call and tell them how their version of justice damages communities
752, notmuchelse  The wait was initially 24 months but it increased due to COVID19   situation  You never believe actually suffering patients on what they often go through under Govt care You believe what you’re fed to believe by MSM   Democrats  etc Sheeple  MAGA
753,This really is an even more drastic  situation  what with COVID19   We have lost our jobs  still being hounded for HUGE demands from HMRC Please help with the many with Open years that HMRC are threatening bullying treating us like criminals  Can you help us Paul
754,Great depression 20  COVID  19  crisis  India  and the world economy Covid  19  CoronavirusLockdown  LockdownWithoutPlan  Lockdown2  FightAgainstCoronavirus  narendramodi  PMOIndia  AmitShah https nenowinopiniongreat depression20covid19crisisindiaandtheworldeconomyhtml   …
755,Current  situation  is a Perfect Storm for many vulnerable children  affected by COVID19  says DominicanRepUN  Minister Councillor opening the event on Child Protection Minimum Standards in COIVD19  at ECOSOC202  with UNICEF  WorldVision  SaveChildrenUN  SwedenUN
756,B 6 The video going round was when she was evacuated from her house  7 In New York where a lot of people had died of COVID19  the medical team that went there will have to set parameters just incase its a corona virus  situation  which in this case was not
757,We cannot act like Wppl covid19   situation  has anything to do with us
758,And I talked about the current  situation  in Cameroon  what are the options for ending the AnglophoneCrisis  why does the international community remain silence and what impact does COVID19  have on the conflict    httpswww globalr2porgresourcesjuli ettepaauwespeaksonpanelregardingr2pandtheinternationalresponsetothesituationincameroon   …
759,Tho in this case theyre saying its messed up that we have a high percentage of  covid19  deaths compared to the larger population of the world  this is a messed up  situation   theyre math is accurate enough
760,So true access to the vaccine must not be dependant on how much one earns  or race  As for this  situation  increasing inequalities its too much We have been reduced to just survival it will be hard to bounce back for the poor Well said PeoplesVaccine  COVID19
761, PMOIndia  LtGovDelhi  rsprasad  Y r the courts not online Open all district courts also Pending cases mounting to already impossible years of  extension  Justice system in  India  is pathetic Courts on unending holidays  Lockdown  added to more 
762,Now people are bound to outrage when the govt shows lack of empathy and competence to protect its people in a  situation  as grave as COVID19   भयानकभाजपाराज httpswww ndtvcomindianewsmig rantsthrowstonesprotestnearmadhyapradeshborderoverfood2228992amp1akamairumofftwitterimpressiontrue   …
763,USAwe will die  Italywe are dying  Englandthe end is near  And   India  dear parents plz sumit your child  fee before your death   COVID  19  Lockdown4  Corona  TheEnd
764,If you think the covid19   situation  is a bad Imagin if it happend say 1520 years ago We stuck at our homes with no highspeed internet no smart phones no video calls no Netflix  no social media Still lot to be grateful  for
765,Which emergency  situation  forced Govt Polytechnics at CTCBBSR to direct there full staffs to attend the institute COVID19  Is it not a gross violation of lockdown rules SchoolCollegeUnlock1  by SecyChief  under the nose of CMOOdisha  IPROdisha  DharitriLive1  News18Odia
766,Extension  of  Lockdown  is stupid aping of western countries  who are doing it to ease Hospital pressure while awaiting “patentable” therapeutic roll out  India  needs workers to return and Rollout of Plasma Therapy and Hydroxychloroquine   Azithromycin  therapeutic available
767,Unfortunately in a few weeks we will see that many many more of your people ended up giving their lives to protest the reprehensible  situation  in your country bc your alreadydisastrous  Covid19  death toll is going to explode
768,53 of Millennials are experiencing financial hardship but only 19 expect their  situation  to be worse next month FinHealthIndex  financialservices  Experian  COVID19   https lnkdineP95haF  
769,MaddowBlog   did I miss something Is the maddow  show now an Alabama local program Undoubtedly the medical  COVID19   situation  in AL is grave But at a time that the US is falling apart  even our right to vote is under threat why are you spending a third of each show on AL
770,Time will tell how each city deals with the issue of public safety and recreational space Its a tough decision and we know these cities are trying hard to make the best call in a very tough  situation  localgov  COVID19
771,As Zimbabweans in SA lets help change the  situation  back home in Zim We may cry Xenophobia but the truth is things are not well in SA b4  COVID19  pandemic STATSSA showed 53 black South Africans were not employed  Let’s fight ZanuPF monster  build Zim  http kanyokadblogspotcom202004zimbab weansinsouthafricawearenothtmlm0   …
772,I am retired person Assured pension No health issues no immediate travel plan for 6 months I want  lockdown  extended by 6 months Only people like me with no worry will want  extension  But I believe this  lockdown  has killed  India 
773,ok for sure COVID19   situation  in Kol is worse than Mum as media  healthcare staff are muffled Healthcare staff are ordered not issue death certificate to COVID19  patients Mamata officials will decide if the patient died due to COVID19  or something elsenot  doctors
774,Apparently that was the last ep of IrelandOnCall  Such a shame  finishing it now could give the false impression that we are out of this  situation  It was a very informative  balanced programme KatieGHannon  BrendanCourtney   Ireland  COVID19  CoronaVirus
775, ContactTracing  has been a public health thing long B4 COVID19  Current  situation  brings to light inherent problems Among these what if someone infected lies to a tracer about where they’ve been and who they’ve come into contact with What if this happens by the 100s 1000s
776,World health organization has warned the Pakistan that the COVID19  cases will be increased  to 200000 after June This is very alarming  situation  for the govt of Pakistan  Govt must take the effective measures to stop the spread of virus  StayHomeStaySafe  
777,We are in this together clueless and blind together masks covering our faces   and  situation  shutting our senses of control Anugacchatu Pravaham together  COVID19  gowiththeflow  mediation
778,Sorry for your loss makes it even harder due to the current  situation  lost my granny 5 days ago to Covid19   keep the head up
779, CMOMaharashtra   we the citizens of Akola MS request you CM  UdhavThakrey  ji pls do something for us  Our  situation  is going worst day by day in ths pandemic Cases of COVID19   Total 507 Recovered 315 Death 28 Active Cases 164 MaharashtraGovernment
780,Lockdown  5 is nothing but just  UNLOCK  1 this is time when we are near to 2 lakh cases in  india  people are ill mannered and emotional sometimes they dont follow social distancing its my personal advice to stay and stay safe whe can witness second wave soon  LockdownExtended
781,If anyone is struggling with your mental heath due to COVID19  Just remember There will be a light after dark  we won’t always be Six Feet Apart It’s a temporary  situation  and we will all be alright Keep your head up you’re not alone    pictwittercomAt2RWCiSEo
782,Congress party particularly Rahul Gandhi is not happy with that his prediction of catastrophic death due to  COVID19  is not happening in India and therefore he and his party is desparate to create chaotic  situation  by instigating labourers minorities to fail Lockdown
783,Such a cruel  situation   with COVID19  being pure evil  Having lost family too i am sending you prayers from afar
784,This really is an even more drastic  situation  what with COVID19   We have lost our jobs and still being hounded for HUGE demands from HMRC Please help with the many with Open years that HMRC are threatening bullying treating us like criminals  Stoptheloancharge
785,May he rest in peace   If this is the  situation  of our healthcare system against the pandemic where a lockdown had offered 2 months time to be prepared governments have failed India  big time The worst of the lot are Maharashtra and Delhi COVID19
786,Pandemic has ravaged trade and consumption but the Indian economy was slowing down anyway with a serious demand compression COVID19   has only magnified the  situation  CPPRIndia  NissySolomon  CPPRLiveWebinars  sfliberty
787,Given this  situation  and the fact that some countries are probably hiding information or not having enough coronavirus  test kits the actual Covid19  death toll should be around one million and the total number should be between 50 and 100 million
788,Panic  the Pandemic in an exclusive content series for TrainingZone Rachel Ellison MBE examines the issues the Covid19   situation  has created for the LD community  https buffly3atRjqR    learninganddevelopment  pandemiclife pictwittercomaruI3QQtHG
789,Fuel and oil prices crash Demand drops off a shelf When either of these challenges are in play it’s a dramatic  situation  for fuel retail  oilpricecrash  COVID19  stateofemergency  fuelprices  gasstation https hubslyH0qgY4R0  
790,Excellent benefit 4 freshmen in the dormitory NOT out of state students or off campus housing PEOPLE who’ll suffer financially as 12month leases forced upon them November through February Pre covid19  Greek houses will suffer unless landlords offer forbearances Tough  situation
791, BREAKING   தமிழகத்தில் தற்போது வரை கோவிட் 19  க்கான சிகிச்சை பெற்று வருபவர்களின் எண்ணிக்கை 7270  மக்கள் நல்வாழ்வுத்துறை அமைச்சர் திரு விஜயபாஸ்கர்  Corona  TamilNadu  StaySafe  India  தமிழகம்  Vijayabaskar  Lockdown4  COVID19
792,Respected PM narendramodi  PMOIndia  If government are thinking of  extension  of lock down situation in  India  but before any  extension  kindly grant some time for the people who struct away from their home due to  lockdown  I am also struck in Rewari district  unable to go Delhi
793,During this time of staying indoors its important to test your smoke alarms regularly and ensure that they are working We are unable to send a team to check them for you at the moment due to the Covid19   situation   pictwittercomGJO8QfhRfS
794,How the Government of Uganda is now handling the COVID19   situation  while letting in infected truck drivers and keeping innocent citizens indoors suffering to their last survival limits  pictwittercomcdtGeN1XC6
795,Good morning all  I have been taken off of Furlough and back to work today We have been open throughout the  covid19   situation  working with a limited staff and we are now working hard to slowly bring back our staff safely  httpwww maincorcouk    ufh https imagesappgooglBdmVn1Ufufqzcf XJ8   …
796,The White List is for countries with aligned  COVID19  policies  results particularly virus eradication The Black List is for countries with an outofcontrol  situation  or ones denying the scale of the problem The Grey List is for everyone else  BWGList pictwittercomClFzSZi6Qp
797,What happened to the hospital patients who had “nowhere else to go” OntarioHealthC  warns COVID19  has worsened the  situation  of patients previously unfairly blamed for blocking beds  http cmajnewscom20200515cov idalc1095873   …  CDNhealth pictwittercomss0swqFhur
798,Can we expect something like this Or just  lockdown   extension  And waiting for our Coffins      Why   Uk Govt is bringing back their nationals although they are in their worst phase and  India    is miles away from that situation  https twittercomUKinMumbaista tus1249960095951335425   …
799,Sir what about business what about govt electricity bills  Intrest for late payment  No money need to pay EMI s   critical  situation  
800,My wife and I really don’t need it so I like the idea of making it taxable  Another alternative would be to cancel the payout and use the money to improve  situation  in Long Term Care homes bcpoli  COVID19
801,Customers are coming into work acting like covid19  was all a dream Leaning over us and complaining about having to wait outside People have forgotten the  situation  already
802,India  Slowest among 8 Nations to Record 10k Deaths but Sees Significant Spike in Mortality Rate Post  Unlock  10  Coronavirus Updates  https ifttt2YclIX2     corona  live tracker  corona  outbreak coronavirus coronavirus updates  covid  19   covid  19  tracker  covid19  outbreak l…  pictwittercomn75tuWONNC
803,TodayModi announced the  extension  of the  lockdown  bt again failed to address the issue of migrant workrsThere r crs of poor ppl who r stuck in differnt cities of  India they wr waiting for  lockdown  to b lifted todayso that they cud go back to their families भाषणहैराशननही
804,The pro private hospital crew have no apparent issue with the fact  That if I have money I can get past someone in the queue to be seen   Even though their  situation  is medically more urgent then mine  Lets stop pretending the pre  Covid19  system was ethically right 12
805,EPAAWheeler  Gutting science during an unprecedented pandemic makes a mockery of the grave  situation  our nation currently faces 30 more days for public comment doesn’t change that Halt your attack on Americans’ health until after we’ve dealt with coronavirus  COVID19
806,It can’t be ignored that the widespread of the virus was caused because of them and people lost lives Plus the  lockdown   extension  because of this which impacted all the citizens of  India 
807,Barclays cuts  India s GDP forecast to zero citing  lockdown   extension  moneycontrolcom   httpswww moneycontrolcomnewsbusiness economybarclayscutsindiasgdpforecasttozerocitinglockdownextension5143081html   …  ask them to concentrate on western countries and USA  than  India    According bankrupt analysts 132 cr Indians  not eating foods or drinking water 
808, COVID19  has been the most unexpected disaster to affect the entire world in the current day  It left companies across the globe rattled and clueless about how to react to the  situation  16
809,Ion usually do stuff like this on social media but atm my uncle is on a ventilator fightin’  Covid19  I’m not askin’ for anything I just know that sometimes we don’t take things seriously till they happen to us or the ppl close to us So I hope that my uncle’s  situation  can open
810,What do you mean By Minimum Damage Already  INDIA  lost over 92 billion on  LOCKDOWN  phase 1  expecting to Hit same Numbers in Lockdown2  
811,WHO looking at  situation  through health lens alone while confusion is the key to all decisionmaking related to  COVID19  Mirza  httpswww dawncomnews1562610     httpswww dawncomnewsamp15626 10twitterimpressiontrue   …
812,I thing CM  PM playing with lockdownindia   its unfortunate that Govt unable to handle the  situation   there is no concrete decision taken by Govt so far  only political games going on No one focus on  Labours   they treated as main source of Spreading   COVID19   Shame
813,Ok Now 8000 daily cases will increase to 15000 daily cases soon Poorly implemented Lockdown  Failed  Now Unlock1  is increasing cases   India  will be 1 in World Coronavirus Cases by end of 2020
814,Conditions in the camps are overcrowded and unsanitary The  situation  has become even more concerning in recent months as China grapples with the spread of Covid19  If the virus is given a chance to spread in the camps the loss of life would be devastating
815, COVID19  is not only killer but inaction of systemShubhkamna13  are in pain since years and even after running from pillar to post they had nothing  Even 6 years of PMOIndia  and 3years of myogiadityanath  we are at same  situation   Structure is deteriorating   Save us
816,It is linear and this is an exponential event but it already puts  covid19  dead in the much more serious causes of death territory So even using a basic but wrong approach to the numbers shows this actually is a serious  situation  3
817,India s  Covid  19  tally surpasses 81000mark with 2649 deaths 27919 cured CoronavirusOutbreak  IndiaFightsCorona  IndiaFightsCOVID19  Covid  19  COVID19  Covid 19india  coronavirusindia  CoronavirusPandemic  CoronavirusLockdown  Lockdown2  lockdownindia https bitly2WzaKtD  
818,The expected shipping time for an order from lenovo official website with  covid19  pandemic  situation  is 1012 days Its seems like lenovo store have initiated shipping only after 13days This is a question on your credibility Lenovoin  Lenovo  LencareIn  lenovoservice
819,Correct me if Im wrong but on what I see  PHs  covid19   situation  is so much worse that VN if you check the data Vietnam spent 22B to fight  covid19  while Philippines already spent P3527B 69B  TAPOS WALA NA TAYONG BUDGET GANITO PA YUNG TOTOO    pictwittercomZ7tddqgTg8
820,»Connecting throughout the World« ist eine Serie von OnlineKonferenzen In jeder Folge sprechen Menschen aus verschiedenen Ländern über die allgemeine  Situation  von Roma und wie sie sich durch die  Covid19 Pandemie verändert hat Dritte Folge am 27 Mai 2020  pictwittercom2l2z8cjAvM
821,Will this give a chance for other state govt to implement this sort of lockdown  Situation  on ground not favourable COVID19   https twittercomAhmedshabbir20 status1272470999120793600   …
822,Trump was caught in a losing  situation  in regards to  covid19  close the borders xenophobe if he had taken over the states to make decisions they would have called him a dictator Up to the states to provide for their citizens if they can’t manage it they can ask for fed help
823,Logoff sharp at 5pm Last day of working day in Ramadhan Alhamdulillah spending the whole Ramadhan this year while working frm home   Rare  situation  but because of  Covid19  all of us experiencing this
824,The  extension  of the nationwide lockdown  in India  till May 3 will inflict an economic  loss  of USD 2344 billion and result in zero GDP growth for calendar year 2020 British brokerage firm Barclays https bitly2RBYpCm  
825,Life is short death is sure we all gonna die soonerlater but ending it urself only worsen the  situation  Covid19  has claimed lives of those who really want to live for knownunknown reasons  Being alive is always an opportunity to live right Dont waste it i beg of u
826,While this is a very sad  troubling  situation  their statement is true Document your  situation  Let the court know  No one should be evicted due to  Covid19  related issues  https twittercomOkCountySherif fstatus1262847616259366919   …
827,Please DonateorShare   help a father struggling with chronicillness   His unemployment ended  now COVID19  has intensified the  situation   PeopleHelpingPeople  philanthropy   BailOutHumans https twittercomlee210nstatus 1247919582163148801   …
828,If you missed it yesterday evening you can watch it here A very interesting event on the latest updates in Rojava  intraKurdish dialogue ISIS threat Turkish state crimes Afrin  Kobane  US Russiaopposition humanitarian  situation  COVID19  and other important issues  https twittercomDlrdrk1status 1266676387714392065   …
829,It is really a bad decision to take exams frm uni student in such a  situation  where were already depressed bcoz of  Covid19 We really cant concentrate on studies in such  situation  and you pplve to think about it calloffuniversitiesexams  DrMuradPTI  ShafqatMahmood
830,Sir  You are only one who can put forward the public problem due to  Covid19  to Government I am doing very little effort to send my thought over the present problem that the Modi Government has completely failed to anticipate the  situation
831,Coronavirus Disease 2019 COVID19  situation  in Thailand as of 16 June 2020 1130 Hrs   httpswww tatnewsorg202006corona virusdisease2019covid19situationinthailandasof16june20201130hrs   …   Coronavirus  COVID19  Thailand pictwittercomVhbf1n12Ys
832, Govt is planning to mobilise retired doctors of public sector hospitals young doctors doctors on house jobs  final year medical students to cope with the COVID19   situation  new doctors  paramedics would be recruited through walkin interviews  CoronaInPakistan  COVID19
833,THIS is what our country was doing is doing during  Covid19  to help eachother and those in greater need I only hope this difficult  situation  in difficult times doesnt completely erase and further tear at the fabric of US as Americans coming together these past 90 days    https twittercomRexChapmansta tus1266737051757617155   …
834,There is no justful  mechanism developed still in Pakistan 4r universities fees discount in a very worst  situation  due to  covid19  ajmaljami  DrMuradPTI  SHABAZGIL  ShafqatMahmood  SayNoToUniversitiesFees
835,India  has moved to number seven in the list of countries affected by Covide  19  virus and with it the Indian government is going to  unlock  the  lockdown  from tomorrow  Lockdown5  UnlockIndia  coronavirus pictwittercomBJskaSWlCH
836,President Trump is not only a racist womanizer but he also failed all of us when it came to handling the current  COVID19   situation  We have lost countless lives due to him failing to act quick enough or take this seriously until it was too late I hope he loses this election
837,Covid19  has made everyones life hell i urge the govt of india to help the poorsmiddle class industries with direct financial benefits to come over this bad  situation   RahulGandhi  DKShivakumar  INCIndia  INCKarnataka  DKDistrictCong1   SpeakUpIndia pictwittercombcmQodB749
838,Californias San Joaquin Valley has long led US food production even as local agricultural laborers battle hunger – a  situation  made worse by COVID19  reports report4america  corps member manuelatobiasm   The latest OnTheGround  dispatch  https thegroundtruthprojectorgessentialwork ersgohungryasfoodrotsinamericasbreadbasket   …
839, AskPayPal  PayPal  Hi a friend sent me a donation to help me out with the  COVID19   situation  The money is on Hold I was reading  the money could be holding for 27 days How can I get it sooner I REALLY need it I tried to contact youbut only unuseful linksNo phone available
840,In the country of Kyrgyzstan  covid19  cases are increasing day by dayat this  situation  students wants to come back to india But 1000s of indian students were struggling to come to india And they are not allowing to the indian embessy kishanreddybjp  Naguraonamaji pictwittercom9QRSOPoTiI
841,The  situation  in Maharashtra is certainly a matter of concern right now as 34 out of 36 districts are affected by COVID19  I will hold a meeting with CM to discuss further course of action to control the spread of the virus drharshvardhan     https liveupdateshindustantimescomindiacoronavi rusindiaworldlatestnewscovid19deathtollmay06202021588725991611html   … pictwittercomPi1wwjSbQq
