,analytical Tweets
1501,People are always looking for the right information The COVID19   situation  demands our immediate attention to develop GoodTech  tools for crisis communication Participate in CallForCode  and share your ideas IBM  ibmin httpswww sarathbabuin202004callf orcodetocombatcovid19html   …
1502, CMODelhi  A Family in Tughlakabad  Extension  got one  Covid19  Positive case and requesting for Test of other Family Members as well who are unwell but no one is arriving for their Test Kindly help ArvindKejriwal  MoHFW INDIA
1503, PMOIndia  narendramodi  CMOMaharashtra  uddhavthackeray  Sir critical for a much needed  extension  of  lockdown  is to ensure farmers can produce and food reaches to the consumer Same applies to medical sevices and products Direct transfers a mus
1504,Picture have the current  situation  defined and also what islam teaches us  COVID19  Islam Islam  Muslims carona pictwittercom23j1aWeO5n
1505,The COVID19Nigeria   situation  report for 11th June 2020 has been published  Our daily COVID19   situation  reports provide a summary of the epidemiological  situation   response activities in Nigeria  Download via  https ncdcgovngdiseasessitre pscat14nameAn20update20of20COVID1920outbreak20in20Nigeria   …   TakeResponsibility pictwittercom4JYMV6yUp1
1506, unlock1  if we were supposed to live with coronavirus then why did we go into  lockdown  in the FIRST place what has  india  achieved on the  covid  front beyond postponing the inevitable
1507,My God   14th April there was only 500 confirmed cases in  India    Then   extension  in the  lockdown  was not required Modiji What is this
1508,To be fair this report mainly covered the dire economic  situation  in West Virginia But there’s no doubt the need is great across America due to COVID19  pandemic  https twittercomSkyNewsstatus 1263295950782529540   …
1509,DrSingh None of mygovindia  except 1975 Emergency restricted Oppositions  Now different  situation  under Global  Compulsions t save Lives  from Spread  of COVID19  like Emergency   Rectify Human Unruliness Predominent  I enjoyed coz already Biju BijuSon  Deadlocked Odisha https twittercomPManmohansingh status1270724923011391488   …
1510,The  situation  in Aden  needs immediate attention and emergency assistance  Eveyone has failed in Aden  and it is time they lead a coordinated response to the crisis COVID19   flooding waterborne disease extreme heat no electricity no water assasinations  https twittercomCNNstatus127 1359363027030016   …
1511,As opposed to the current  situation   TrumpDepression  TrumpMeltdown  TrumpGOPGenocide  TrumpDeathToll82K  COVIDIOTS  covid19  TrumpKillsAmericans https twittercomthehillstatus 1260377973812801536   …
1512,Following the covid19  outbreak the CMAgovUK  indicated it would relax enforcement of its rules under certain circumstances  However that doesn’t mean businesses can take advantage of the  situation     https bitly2WKS1LP     law  commercialcontracts  competitionlaw pictwittercomoVuHmva1D9
1513,Sir any chance of  extension  of  lockdown  beyond 3rd
1514,Now people are bound to outrage when the govt shows lack of empathy and competence to protect its people in a  situation  as grave as COVID19   भयानकभाजपाराज httpswww ndtvcomindianewsmig rantsthrowstonesprotestnearmadhyapradeshborderoverfood2228992amp1akamairumofftwitterimpressiontrue   …
1515,In a major relief for the real estate developers the Union Ministry for Housing and Urban Affairs will issue advisory to states and union territories to declare the Covid19   situation  as a force majeure under the Real Estate Regulation and Development Act  pictwittercomcKY2sRvVB6
1516,Dear narendramodi  PMOIndia  drharshvardhan  AshwiniKChoubey  aajtak   PHARMACISTMEDICINELIFE I am a Registered PHARMACIST I am ready to serve the Nation in the current  COVID19  pandemic  situation  Kindly use my services  let me serve the Nation AcknowledgePharmacist
1517,Do you think services like courier ecommerce local shops  will get more flexibility with Lockdown4  that will happen in a few days in  India  coronavirusinindia    I feel except containtmenthotzones their would be more relaxations but we would again get a  lockdown   extension 
1518, people more money to buy food doesnt solve any problems My  situation  has nothing to do with  COVID19  and everything to do with corruption within the food system and dumping by Canada
1519,Lockdown   extension  is the most essential thing that we need now  Lockdown  cannot be effective if government of  India  is lifting the  lockdown  at the time when cases in  India  are in its peakWe need a complete  lockdown  or else  lockdown  will be a complete failure lockdownextension
1520,If you think the covid19   situation  is a bad Imagin if it happend say 1520 years ago We stuck at our homes with no highspeed internet no smart phones no video calls no Netflix  no social media Still lot to be grateful  for
1521,Cabinet Secretary RajivGauba  held a meeting with Municipal Commissioners and District Magistrates of 13 worsthit cities including the national and the economic  capital as far as COVID19  is concerned to review the  situation   pictwittercomLZcLLOl62z
1522,Multiple reports now suggesting that many states have told narendramodi  that they favour a lockdown   extension   The PM today held a conference call with state chief ministers  India s extended Covid19  shutdown ends on May 3  https twittercomnistulastatus 1254675515056648192s20   …
1523,It is critical that Covid19  crisisresponse measures account for women’s unique  situation   We must not only survive coronavirus  but emerge renewed with women  as a powerful force at the centre of recovery genderequality  JusticeForWomen  SDG5
1524,By that strange logic thousands or tens of thousands should be allowed to reopen regardless of proceduresthe  situation  being in place to contain or prevent more covid19    Doesnt really jell w your prior cautions
1525,As of 852020 1200  Confirmed       15547 95 　Hospitalized  11434 339 　Discharged    5906 760 　Death         557 6  Excluding Diamond Princess cruise ship   httpwww socjapancom      COVID19  Covid19  coronavirus  coronavirusjapan
1526,Life has changed dramatically for everyone worldwide over the past few months I believe that the analogy that equates the current  situation  related to Covid19  as being as if we are all in the same storm yet all in different boats is very accurate  httpswww sirpaorgselfisolation isthissettingusupforpsychologicaltrauma   … pictwittercomxx2hLFQ5GY
1527,Are you working on a Continual Learning Plan for backtoschool to support students no matter what the  situation  School leaders share the methods they’ve used to be successful through COVID19   https bitly3f4lBmE    ContinualLearningPlans  RemoteLearning  CLP pictwittercom49IPPzXQKl
1528,53 of Millennials are experiencing financial hardship but only 19 expect their  situation  to be worse next month FinHealthIndex  financialservices  Experian  COVID19   https lnkdineP95haF  
1529,Time will tell how each city deals with the issue of public safety and recreational space Its a tough decision and we know these cities are trying hard to make the best call in a very tough  situation  localgov  COVID19
1530,As a response to the changed working and social conditions imposed by  COVID19   TheFamilyWatch  is analysing the  situation  of families If you want to participate the survey is in Spanish   https formsgleaLCFaiVPHZk7cc w26   …
1531,Is this information true  Lockdownextention  Lockdown3  IndiaFightsCorona  India  LockdownExtended  MayDay2020  Covid  19   pictwittercomq6dHaa9r4w
1532,Please postpone TamilNadu 10thPublicExam  due to this pandemic  situation  SSLCExam  highcourt  COVID19
1533, TelanganaCMO  KTRTRS  regardless of whether the centre extends  lockdown  pls consider a two week  extension  in TS to complete a full tracking of cases within state and please maintain sealing of all borders till situation in  India  is under conttol
1534,httpWww loveworldsatorg    watch and understand the direction where our world is going You will understand the time and season we are on right now I wish we can our leaders watching this to gain an understanding of the current  situation  of  COVID19   COVID19SouthAfrica
1535,Trick To Set JioTune From JioSaavn Without PRO Subscription Follow CuriousSteve  for more tricks  jio  india  saavn  Desi  trick  jiotogether  Lockdown5  unlock  kenny  JIOsaavn  PRO  OneYearofHate  SaturdayThoughts  sundayvibes  COVID19    See More  httpswww curiousstevecom202005trick tosetjiotunefromjiosaavnhtml   …
1536,An incredible PM YES But there are clear differences between NZ and UK which mean they are not comparable in this sense I am NOT supportive of the current govt or of the way the  COVID19   situation  has been handled But I am not supportive of superficial comparisons either
1537,Écoutez en direct l’état de la  situation  concernant la COVID19   https twittercomfrancoislegaul tstatus1262425382613127168   …
1538,ok for sure COVID19   situation  in Kol is worse than Mum as media  healthcare staff are muffled Healthcare staff are ordered not issue death certificate to COVID19  patients Mamata officials will decide if the patient died due to COVID19  or something elsenot  doctors
1539,Apparently that was the last ep of IrelandOnCall  Such a shame  finishing it now could give the false impression that we are out of this  situation  It was a very informative  balanced programme KatieGHannon  BrendanCourtney   Ireland  COVID19  CoronaVirus
1540,Covid19  has been such a  situation  for me  The helplessness around you can easily get to you  it did to me too  I realised that I too was getting out not only to balls outside the offstump but to balls from all sides    I started Counting my disciplinary deviations too  4n
1541,Due to the difficult  situation  we are living with the Coronavirus we now offer these types of supplies for your greater protection Contact us by mail infotesmiamicom  Face Mask made of highquality material safe soft and confortable Adjustable nose clip 5pcs  COVID19   pictwittercomwDrrdlRvQF
1542,Economists Predict Worst Recession Ever for  India  Amid  Lockdown   Extension   News  Bitcoin News  http dlvritRWwmx0   pictwittercom7kYLjkDein
1543,He is hoping to demoralize black voters to not vote by bringing up Sanders and capitalizing on this current  situation  but this will pass   He wants to get rid of Obamacare which many people depend on  Vote by mail can save lives AA people have been hit hard with  COVID19 
1544,This evening EHA25VIRTUAL  provided a topical threepart session on ‘COVID19 and Hematology’ proving to be very insightful and valuable considering the current  situation  Look forward to our coverage of this in our upcoming edition of EMJ Hematology    COVID19  hematology
1545,India  PM announces  lockdown   extension   httpswww dailymailindiacomindiapmannou nceslockdownextension   … pictwittercomndfyHxiRU0
1546, IndiaFightsCorona   Lets keep a positive attitude towards our healthcare workers on the frontline of COVID19  response  not discriminate against them  To know more watch this video   https buffly3cwELzB     Lockdown3  PMOIndia  drharshvardhan  AshwiniKChoubey  PIB India
1547,The COVID19Nigeria   situation  report for 11th May 2020 has been published Our daily COVID19   situation  reports provide a summary of the epidemiological  situation   response activities in Nigeria Download via  https ncdcgovngdiseasessitre pscat14nameAn20update20of20COVID1920outbreak20in20Nigeria   … …  http dlvritRWVPK5    VIA NCDCgov
1548,Sorry for your loss makes it even harder due to the current  situation  lost my granny 5 days ago to Covid19   keep the head up
1549,As of 662020 0000  Confirmed       17103 44 　Hospitalized  1103 75 　Discharged    15079 107 　Death         914 7  Excluding Diamond Princess cruise ship   httpwww socjapancom      COVID19  Covid19  coronavirus  coronavirusjapan
1550,It was a close feeling today Hence Im a bit extra positive than I was before 8 PM Stay safe guys We will all come out of it stronger and better   nn Modi  NarendraModi  India  Lockdown4  Corona  Covid  19  Quarantine  NursesDay2020
1551,What more can be done to keep Pacific  economies afloat amid COVID19  In this piece my LowyInstitute  colleague RolandMRajah  and I review the impact of international measures on the region so far and propose steps to improve the  situation  going forward  httpswww lowyinstituteorgtheinterprete raidingpacificduringcovidstocktakeandfurthersteps   …
1552, COVID19   Why peoples are not getting serious regarding this viruswe are going towards worst  situation 
1553,India  need  extension  of  lockdown  and If government takes the step to extend then we should follow their guidelines
1554,India  has entered  Unlock  Phase 1 A major portion of the economy has opened up and more will open up after 8th June   Weve been able to do this only because when the entire world was grappling under the  COVID  crisis  India  reaped the benefits of the  lockdown  PM Modi
1555, NBSFrontliners I think Lord Mayor Lukwago is a very clever man who I think has never learnt anything to do with leadership Bwana mayor live out of theoretical world By all measures the government has done its best during this unprecedented  COVID19   situation 
1556,The  situation  is out of control in many statescities in India  three major factors 1 No Population control 2 Rampant Corruption  Loot since 1947 3 Society that doesnt respect Law  Civil responsibilities Covid19
1557,As the COVID19 pandemic continues inside the latest  issue of our EMagazine we look at a number of areas to consider during the unprecedented  situation  we all face covid19  financialplanning  wealthmanagement httpswww tudorfranklincoukmagazine2020 39coronavirusimpactontheglobaleconomy   …
1558,Reports about the National Task Force submitted its report to PM Narendra Modi suggesting for the  extension  of  lockdown  is FAKE Stay Informed Stay Safe indiafightscorona  covid  19 Delhi  India   httpswww instagramcompBXoP06pqBb igshid1dvc1lqjswdis   …
1559,Don’t be a COVIDIOTS  and be informed about covid19   situation  and cases in your country Get live updates and cases in your country at  https covid19trackercom  
1560,Relief for FL III License holders in the form of an option to keep the License in custody for the current financial year due to the prevailing pandemic  situation   Download  httpwww aharindownloadrelie fforfliiilicenseholdersutmmediumsocialutmsourcetwitterutmcampaignpostfityutmcontentpostfityaa6c9   …    indiafightscorona  covid19  lockdown4  stayathome  coronavirus  stateexcisemaha
1561,Due to covid19 students are not getting anything from online classes We request you to take right decision at this  situation  drashwathcn  promotethedegreestudents   promotedegreestudents   promoteVTUstudents   CMofKarnataka   tv9kannada   publictvnews
1562,NZ Nurses Organisation calls for the Waitakere Hospital investigation to be widened as a 7th nurse is confirmed to have the virus The NZNO says the rise in cases is creating a “crisis  situation ” with staff feeling anxious  unsafe NewshubNZ  COVID19     httpswww newshubconzhomenewzeala nd202005twowaitakerehospitalnursestestingpositiveforcovid19notacceptablenursesunionhtml   …
1563, promoteagriculturestudents    Everyone knows due to  covid19  routine has been collapsed in this middle  situation  gov is going to conduct exams to collect clg fees playing with students health ex Israelplz think on further coming  situation   RajCMO  1stIndiaNews
1564,Congress party particularly Rahul Gandhi is not happy with that his prediction of catastrophic death due to  COVID19  is not happening in India and therefore he and his party is desparate to create chaotic  situation  by instigating labourers minorities to fail Lockdown
1565,But the matter of shame was that he couldnt find a bed even after visiting 3 Hospitals If this is the  situation  of a policeman in Delhi then how safe is normal public This is a serious concern and need to be analysed COVID19  Delhi
1566,The COVID19Nigeria   situation  report for 8th May 2020 has been published  Our daily COVID19   situation  reports provide a summary of the epidemiological  situation   response activities in Nigeria  Download via  https ncdcgovngdiseasessitre pscat14nameAn20update20of20COVID1920outbreak20in20Nigeria   …   TakeResponsibility pictwittercomsMAno1kjWQ
1567,For a single vote you will be called to your state as a VIP but due to covid you are not allowed to enter your state  Understand the disaster  situation  before raising mouth on police  Yes Let them do their duty  Stay Back Stay Safe   covid19  statepolitics  staterules
1568,This really is an even more drastic  situation  what with COVID19   We have lost our jobs and still being hounded for HUGE demands from HMRC Please help with the many with Open years that HMRC are threatening bullying treating us like criminals  Stoptheloancharge
1569,Global  situation  27 May 2020 0600 AM  Total confirmed 5660246  Recovered 2420105  Active cases 2889526  Deaths 350615   httpswww worldometersinfocoronavirus     โควิด19  โควิด2019  covid19  COVID2019  StayAtHome  DDChotline 1422 prmoph  ddcriskcom pictwittercomHVLsMqja7D
1570,Not very subtle bbc pushing of  covid19   situation  with WW2 You may as well say cabbages  remind you of Jupiter
1571,Given this  situation  and the fact that some countries are probably hiding information or not having enough coronavirus  test kits the actual Covid19  death toll should be around one million and the total number should be between 50 and 100 million
1572,There may have a chance for  extension  of  lockdown  in  india  even after may 3
1573,Facebook makes sure to provide facts and avoid fake news with the COVID19   situation  Be the first to know these latest updates at  httpwww freemarketingsolutions    socialmedia  freemarketingsolutions pictwittercomcG3KchS3Wm
1574,Panic  the Pandemic in an exclusive content series for TrainingZone Rachel Ellison MBE examines the issues the Covid19   situation  has created for the LD community  https buffly3atRjqR    learninganddevelopment  pandemiclife pictwittercomaruI3QQtHG
1575,If you think your  situation  might be changing soon please remember that you may have to repay the CERB if you earn employment or selfemployment income earlier than expected  Find out more  http owlyJtpJ30qFmZb    COVID19  CdnTax  22
1576,Écoutez en direct l’état de la  situation  concernant la COVID19   https twittercomfrancoislegaul tstatus1260613215991541761   …
1577, PMOIndia  India is under threat in multiple directions Indias Economy boundary lines  Covid19  Locust Migrant CrisisCyber AttacksCommunalism and many more I request you to kindly look after this  situation  as an opportunity to sort out the flaws in the Country
1578, sbtebiharpolytechnicpromotekro  sbte bihar polytechnic ke sabhi student ko promote kare due to  covid19  Panadenmic  situation  SBTeducation  AICTEINDIA  ugcindia  HRDMinistry  NitishKumar  ABPNews  aajtak  PMOIndia  ugcindia  NitishKumar
1579, PiyushGoyal s handling of the  covid19   situation  as railway minister has been horrible full of lies Only to be expected from a RSSorg  BJP4India  activist HardeepSPuri  of indiandiplomats  has run the admin of HCILondon  Lets see if he fares better in resuming flights
1580,Everything will be Okay in the end If its not Okay its not the end John Lennon  In this  situation  due to Covid19  we should stay positive with the hope of good days At IBEX we are going to start production in our factory in coming few days staypositive  StayTuned pictwittercomWAumUqCJGt
1581,Respected PM narendramodi  PMOIndia  If government are thinking of  extension  of lock down situation in  India  but before any  extension  kindly grant some time for the people who struct away from their home due to  lockdown  I am also struck in Rewari district  unable to go Delhi
1582,A students frequent absences from school werent a good enough reason for a Minnesota district to put off evaluating her under the IDEA  Perhaps relevant to the COVID19   situation  the 8th Circuit faulted the district for making… https lnkdingDHN7cw     https lnkdingmwuqzs  
1583, Occupy  Finland  Denmark   Norway  refuse tourists from Sweden  due to Swedish Catastrophic  Covid19   situation    https youtubed4A2N3oQEIk    via YouTube
1584,Just watched a part of it Interesting evidence for covid19  impact  Satisfaction to the current way  situation  has been dealt by actors   But no new tools or idea from any actor to tackle mentioned issue Lets manage  is the keyword  Too bad agriculture  food https twittercomSeneddCCERAst atus1262720936677122049   …
1585,Extremely proud of this kid His driving test was canceled due to COVID19  but not once did he complain He handled the  situation  maturely even knowing his summer job plans were on hold Today hes a licensed…  httpswww instagramcompCBMbFgCne39 igshidrkldzlcas4ta   …
1586,During this time of staying indoors its important to test your smoke alarms regularly and ensure that they are working We are unable to send a team to check them for you at the moment due to the Covid19   situation   pictwittercomGJO8QfhRfS
1587,Appreciate this step for Qatar in the prevailing  situation  of  COVID19  pandemic
1588,When I look at the  situation  in Ontario I see 34 health units most of which have outperformed the leadership coming from the province  Epidemiologist DFisman  speaks to NathanielBasen  about Ontario’s fight against COVID19   httpswww tvoorgarticlecovid 19lastweektodaywithepidemiologistdavidfisman   …
1589,If you survive year 2020 physically as well as mentally then its actual achievement  real success one could ever achieve in their lifetime At least as per the  situation  we are now       COVID19  lockdownextension  earthquake
1590,As the Centre mulls  lockdown   extension  shortage of essentials hit several parts of  India   Take a look at the ground reports by TIMES NOWs Parvina East Kailash Delhi Priyank West Delhi  Pradeep Jammu  pictwittercom8hJ1knuKbI
1591,The WHO created confusion by a COVID19  statement that did not apply to the US current  situation   Fact  If you have good contact tracing testing and people ADHERING to QUARANTINE transmittal can be low among asymptomatic people US does little of this 20000 cases a day
1592,therefore i cannot renew my residency online from  India  and in  India  due to  lockdown  I cant renew my passport as well is there anyway i can renew my PP to save my visa Is there any provision to get  extension  SachinPilot
1593, WayneMinnaar2  Have the Metro Police checked up the  situation  of UberRSA  and Boltappza  drivers COVID19  …
1594,What happened to the hospital patients who had “nowhere else to go” OntarioHealthC  warns COVID19  has worsened the  situation  of patients previously unfairly blamed for blocking beds  http cmajnewscom20200515cov idalc1095873   …  CDNhealth pictwittercomss0swqFhur
1595,We are all in full support of you and always pray for your best well being Handling such a difficult  situation  like  covid19  across India clearly depicts your leadership and expertise We are proud to have you as our country’s Home Minister More power to our Defense forces 
1596,Can we expect something like this Or just  lockdown   extension  And waiting for our Coffins      Why   Uk Govt is bringing back their nationals although they are in their worst phase and  India    is miles away from that situation  https twittercomUKinMumbaista tus1249960095951335425   …
1597,All training camps at Sports Authority of  India  centres to remain suspended till May 3 owing to the  extension  of national  lockdown   PTI
1598,Honble Prime Minister of  India  Shri Narender Modi Ji will address to the nation at 8pm Today  Expected to Declare Lockdown   extension  of 40
1599,The US has returned hundreds of unaccompanied children to Mexico and Central America since March ⁠— even as they face new dangers due to COVID19  It is never in a child’s best interest to be sent back to an unsafe  situation  AChildIsAChild https reutrs3e8hxkc  
1600,My wife and I really don’t need it so I like the idea of making it taxable  Another alternative would be to cancel the payout and use the money to improve  situation  in Long Term Care homes bcpoli  COVID19
1601,I understand we were in an unprecedented  situation  as we faced the apex of COVID19  curve  But nursing home residents have legal rights protected by federal  state statues   Sending COVID to NH violated these rights  httpswww wsjcomarticlesnewy orksentrecoveringcoronaviruspatientstonursinghomesitwasafatalerror11589470773   …
1602,India   lockdown   extension  pressures coal import outlook  https ifttt35sNaln  
1603,Bank EMIs Decide what to do online  trend  Trending  NarendraModi  RBItoday  rbigovernor  RBI  emi  ModiBestPmEver  PMModi  lockdown4  COVID19  Covid  19  COVIDー19  Corona  IndiaFightsCoronavirus  India
1604,India  has recorded over 1 lakh confirmed cases of Covid19  which includes 3163 deaths as per MoHFW INDIA  Check all the latest updates of the day here    Coronavirus  CoronavirusIndia  Covid  19  Lockdown4   httpswww moneycontrolcomnewsindiacor onaviruswrapmay19maharashtraeasesrestrictionsingreenzonesdonaldtrumpclaimsheistakinghcqdrug5288661html   …
1605,‘Our current  situation  is making each of us think hard about how we eat I’m certain there will be a new respect for the ones who feed America’  essentialworkers  farmworkers  foodchain  COVID19     http owly3usn50zyukd  
1606,Just imagine coronavirus pandemic in India right before election BJP and all other oppositions would have treated this differently and  situation  with migrants would have been better COVID19  coronavirusinindia  BJP4India  INCIndia  AamAadmiParty
1607,So kasalanan then ng prime minister ng italy kung bakit sila nagka  covid19  lols direct your argument in the  situation  tagal ng meron sakuna at patayan its always not direct related to the higher ranking official its been normal in a country
1608,The pro private hospital crew have no apparent issue with the fact  That if I have money I can get past someone in the queue to be seen   Even though their  situation  is medically more urgent then mine  Lets stop pretending the pre  Covid19  system was ethically right 12
1609,Himanshu Sikka shares his thoughts on “Why there is a necessity of  extension  of  lockdown  in  India ” with  India  Today hsikka  ashwajitipe  padmad7   To know the views read  https tinyurlcomydc3ulfv      Lockdown2 0 IndiaLockdown  covid19
1610,MANAGING OUR FOREGIN RELATIONSHIP CHINAS  SITUATION   https fadfmcom20200616man agingourforeginrelationshipchinassituation   …  COVID19  SenateLive  worldwar3  SenateNiYaSweetie  barleg  FootballisBackWithSTAR  chinaindiaborder
1611,It can’t be ignored that the widespread of the virus was caused because of them and people lost lives Plus the  lockdown   extension  because of this which impacted all the citizens of  India 
1612,As feared and predicted the pandemic shows no sign of slowing down 181232 new confirmed COVID19  cases  5245 deaths reported to WHO  today   Situation  in Americas region continues to deterioratedominate  httpswww whointemergenciesdi seasesnovelcoronavirus2019situationreports   … pictwittercomoInwr1y9rQ
1613,Barclays cuts  India s GDP forecast to zero citing  lockdown   extension  moneycontrolcom   httpswww moneycontrolcomnewsbusiness economybarclayscutsindiasgdpforecasttozerocitinglockdownextension5143081html   …  ask them to concentrate on western countries and USA  than  India    According bankrupt analysts 132 cr Indians  not eating foods or drinking water 
1614,Thank you Belfast ME Such a great little town Maine is quiet so far as far as civil unrest goes Lots of spouting off online  threatening to drive over protestors if they have a chance though Also luckily the  COVID19   situation  is not so bad in this area compared to SO ME
1615,Situation  de COVID19  en Afrique le 01 juin 2020 232cas   StaySafeAfrica  WeCareBenin  Ensemble   Source info OMSAfrique  Together pictwittercomVuH6KjwZu8
1616,Thailand  situation  13 June 2020 1205 AM  Total confirmed 3134 5  Recovered 2987 0   Active cases 89  Deaths 58 0   โควิด19  โควิด2019  covid19  COVID2019  StayAtHome  DDChotline 1422 prmoph  ddcriskcom pictwittercomAebyZpPhkl
1617,AHHHHH I really miss leading the congregation into worship   but anyways amidst the noise and terrifying  situation  due to  CoVID19  may our FAITH be above every diseasesdanger and fear Stay safe and pray everyone   pictwittercomXF4Qk5EGCn
1618,This Amazon  pay balance would be really helpful in this pandemic  situation  if enough luckyAmazonRiddles  StayHomeStaySafe  COVID19  India
1619,i try to be very understanding on matters  have a look on both sides not just bec this is a skill for my major but bec i think this helps me grow as a person but our  situation  now  covid19  is far from flattening its curve yet wa jud nagkadimao ang mga ahensya ug opisyales
1620,What do you mean By Minimum Damage Already  INDIA  lost over 92 billion on  LOCKDOWN  phase 1  expecting to Hit same Numbers in Lockdown2  
1621,WHO looking at  situation  through health lens alone while confusion is the key to all decisionmaking related to  COVID19  Mirza  httpswww dawncomnews1562610     httpswww dawncomnewsamp15626 10twitterimpressiontrue   …
1622,I thing CM  PM playing with lockdownindia   its unfortunate that Govt unable to handle the  situation   there is no concrete decision taken by Govt so far  only political games going on No one focus on  Labours   they treated as main source of Spreading   COVID19   Shame
1623,If anyone has an agenda its GovRicketts  who doesnt want the world to know how bad the  covid19   situation  in the meat packing plants is to shield his dear leader realDonaldTrump  from the ugliness of the disease spread by his neglect Nebraska  MAGA httpswww huffpostcomentryrachelm addowpeterickettsnebraskameatpackingplantscoronavirusn5eb5ef86c5b69c4b317a69d1   …
1624,If you are looting and burning its  COVID19  free  situation 
1625,Conditions in the camps are overcrowded and unsanitary The  situation  has become even more concerning in recent months as China grapples with the spread of Covid19  If the virus is given a chance to spread in the camps the loss of life would be devastating
1626,Écoutez en direct l’état de la  situation  concernant la COVID19   https twittercomfrancoislegaul tstatus1260613215991541761   …
1627, Sikkim  the one  only state of  India   which is Covid  19  free reasons are early precautions by state government But something I havent liked is new law which abandons tourists in the state till Oct 2020 Long  extension  wont be suitable as tourism is backbone to there economy
1628,Business Standard takes a look at regional editions of Hindi newspapers to provide you with a picture of the COVID19   situation  in the hinterland   ShivanshJauhri  CoronavirusOutbreak httpswww businessstandardcomarticlecurren taffairscovid19hinterlanddigestonly2districtsinrajasthanarevirusfree1200508009081html1588936099   …
1629, COVID19  wont evaporate because trump is drunk I assumed that a responsible set of leaders would manage a manageable  situation  like   safety measures  research  Going for cocktails  aperitifs   in the BUSINESS DISTRICT while investing in armaments it wont go away 
1630, COVID19  is not only killer but inaction of systemShubhkamna13  are in pain since years and even after running from pillar to post they had nothing  Even 6 years of PMOIndia  and 3years of myogiadityanath  we are at same  situation   Structure is deteriorating   Save us
1631,Bello Pero itong pagbabayad nito pwede namang idelay because of the COVID19  pandemic You have to understand the  situation  of our employers Pwede munang ipostpone ang pagbabayad ng holiday pay  via arraperezDZMM
1632,Latest  situation  of COVID19  progress on implementation of SOPs  and guidelines at the provincial level was examined by the NCOC meeting   CoronaFreePakistan  COVID19   pictwittercomIDzpdQovjz
1633,The expected shipping time for an order from lenovo official website with  covid19  pandemic  situation  is 1012 days Its seems like lenovo store have initiated shipping only after 13days This is a question on your credibility Lenovoin  Lenovo  LencareIn  lenovoservice
1634,I need some help Unemployed since early March and due to the  covid19   situation  and 28 weeks pregnant Any contribution is greatly appreciated    ffflutterbyyy
1635,We are from Punjab and stuck in Pune due to  lockdown  We support  India  by managing the things and staying here but cant go ahead with lockdonw  extension Requested different authorites to travel but no response aajtak
1636,Trump was caught in a losing  situation  in regards to  covid19  close the borders xenophobe if he had taken over the states to make decisions they would have called him a dictator Up to the states to provide for their citizens if they can’t manage it they can ask for fed help
1637, Lockdown4  will come with more relaxation despite 200K estimated Covid  19  patients in India   lockdownextension  StayHome
1638,Logoff sharp at 5pm Last day of working day in Ramadhan Alhamdulillah spending the whole Ramadhan this year while working frm home   Rare  situation  but because of  Covid19  all of us experiencing this
1639,Hi Renier We validate your application for approval within 35 working days After validationapproval process delivery takes 17 working days Please note that there will be a delayed of  the Delivery SLA of orders effective April 1 2020 due to the  COVID19   situation   Ren
1640,Barclays cuts  India s GDP forecast to zero citing  lockdown   extension   httpswww moneycontrolcomnewsbusiness economybarclayscutsindiasgdpforecasttozerocitinglockdownextension5143081html   …   Lockdown2   Covid  19
1641,This is absolute nonsense are the PC’s finally showing there true colours All the common sense of the  Covid19   situation  has gone and the car driving environmental idiots are back and wasting money and to keep their lobby sweet
1642,While this is a very sad  troubling  situation  their statement is true Document your  situation  Let the court know  No one should be evicted due to  Covid19  related issues  https twittercomOkCountySherif fstatus1262847616259366919   …
1643,Dear Sir  We do understand your  situation  Seva Sindhu is the right authority to address this technical issue for further assistance kindly contact the Seva Sindhu helpline number bw 0802295540108022955406  Regards COVID19Karnataka
1644,Its quite a blessed evening despite this unsafe  situation  we are facing caused by  covid19  a great appreciation always goes to our Almighty God Love you all ma Tweeter friends be courageous in any challenge that comes across
1645,Advisers give recommendations but the decisions are made by the leaders Decisions involve different levels of risk depending on the  situation  COVID19  Maldives
1646,India  coronavirus  lockdown  live updates PM Modi to decide on  lockdown   extension  as cases rise to 6565  http owlyROIX50zbudr  
1647,GOI has extended  the validity of Fitness certificate of vehicles Permits Driving License or any other concerned documents affected due to  lockdown  that expired since Feb 1 till June 30  COVID2019india  India  Transport  Permits  Extension  Vehicles pictwittercomBuqXyQ708p
1648,Apple has released a tool showing changes in movement as a result of the pandemic     India  Notes 83 Decline In Overall Mobility Trends    Read More  https bitly2wDCYt4    by Krittiiii   via Inc42    COVID19  Lockdown2  IndiaFightsCorona pictwittercomCz2usZJwYt
1649,India  considering  lockdown   extension   https litepoandpocompoliticsindia consideringlockdownextension1342020242   …  Politics   httpwww poandpocom    India  considering  lockdown  extension  765
1650,It is really a bad decision to take exams frm uni student in such a  situation  where were already depressed bcoz of  Covid19 We really cant concentrate on studies in such  situation  and you pplve to think about it calloffuniversitiesexams  DrMuradPTI  ShafqatMahmood
1651,Have to say I feel very scared right now with the COVID19   situation  and the government advice is just confusing me more We need real coherent leadership nationally and globally to eradicate this virus
1652,Sir  You are only one who can put forward the public problem due to  Covid19  to Government I am doing very little effort to send my thought over the present problem that the Modi Government has completely failed to anticipate the  situation
