,tentative Tweets
338,Due to the  extension  of nationwide  lockdown  announced all flights now flying within  India  and those taking off or landing in  India  between 4th May 2020 to 31st May 2020 stand suspended
339,Getting cargo shipped from one country to another may seem like an arduous and challenging task and even more with the current  COVID19   situation  Discover how to avoid delays in this guide  https bitly3c1qCdX   pictwittercomKsj9HSD5m2
340,How is it possible in the current  situation  of  Covid19  that youre taking weeks to scan the documents to register as Nurse or Midwife Just scan not even assessing the information Not acceptable at all 
341,Middle East  situation  is following the same trajectory as before the  covid19  pandemic If there are any changes they are likely to happen at a later stage when the economic political impact becomes clearer  httpswww israelhayomcom20200515cor onavirushasnotchangedthemiddleeast   …
342,Covid19  Nepal Response  Situation  Report No VIII As of 25 May 2020 Banke Bardia Kailali Kanchanpur Doti Achham Dailekh Dhading and Gorkha  Nepal  ReliefWeb   https ifttt36CdpWX  
343,Not something to be PROUD of   Wondering why the German COVID19   situation  is much better than in the USA  Back open safely   Perhaps it is the expert LEADERSHIP  in the USA   Except for New York State  which is on the right track   pictwittercomoR9WVJdkSV
344,Do you care If he has  Covid19  great if he doesnt I think its only a temporary  situation 
345,Here is an article about the  Covid19   situation  from Jerusalem Post talking about Wuhan  https twittercomJerusalemPost status1264818738043518977s19   …
346,In jmiuofficial  hostel authorities r going to  unlock  or break the lock of the rooms  Almirah to sanitise when most of us left crucial belongings in hostel rooms before  lockdown  or recently Safety of our belongings  ugc india  ndtv  HRDMinistry  JamiaStopHarassingStudents
347, notmuchelse  The wait was initially 24 months but it increased due to COVID19   situation  You never believe actually suffering patients on what they often go through under Govt care You believe what you’re fed to believe by MSM   Democrats  etc Sheeple  MAGA
348, Lockdown2   Modiji saying well remove some part of  Lockdown  in some areas of  india  from 20th April  Other Areas   pictwittercomGCDrZ5ALJW
349,We cannot act like Wppl covid19   situation  has anything to do with us
350,Sir any chance of  extension  of  lockdown  beyond 3rd
351,By that strange logic thousands or tens of thousands should be allowed to reopen regardless of proceduresthe  situation  being in place to contain or prevent more covid19    Doesnt really jell w your prior cautions
352, Lockdown2   Lockdown  extended in  India  Till 3rd May
353,Lockdown  50 exteneded till 30th with some releifs lockdownextension  Lockdown5  IndiaFightsCorona  ContainmentZones  CoronavirusLockdown  CoronaVirusUpdates  kakinada  AndhraPradesh  India   kakinadatimes pictwittercomi2fazXQsvV
354,If anyone is struggling with your mental heath due to COVID19  Just remember There will be a light after dark  we won’t always be Six Feet Apart It’s a temporary  situation  and we will all be alright Keep your head up you’re not alone    pictwittercomAt2RWCiSEo
355,Not very subtle bbc pushing of  covid19   situation  with WW2 You may as well say cabbages  remind you of Jupiter
356,There may have a chance for  extension  of  lockdown  in  india  even after may 3
357,Lockdown  extended till May 31 in  India   Lockdown4
358,If you think your  situation  might be changing soon please remember that you may have to repay the CERB if you earn employment or selfemployment income earlier than expected  Find out more  http owlyJtpJ30qFmZb    COVID19  CdnTax  22
359,LOCKDOWN  IN    INDIA  TILL 3 May       Lockdown2  LockdownExtended  NarendraModi
360,Just watched a part of it Interesting evidence for covid19  impact  Satisfaction to the current way  situation  has been dealt by actors   But no new tools or idea from any actor to tackle mentioned issue Lets manage  is the keyword  Too bad agriculture  food https twittercomSeneddCCERAst atus1262720936677122049   …
361,Can we expect something like this Or just  lockdown   extension  And waiting for our Coffins      Why   Uk Govt is bringing back their nationals although they are in their worst phase and  India    is miles away from that situation  https twittercomUKinMumbaista tus1249960095951335425   …
362, India  extends nationwide  lockdown  till May 3rd PMOIndia  provides roadmap to release  lockdown  post April 20th in some areas  https thetechportalcom20200414ind iacoronaviruslockdownextendedmay3   …  coronavirus  Lockdown2  IndiaFightsCorona  CoronaVirusUpdate
363,Former PM Mahathir Mohamad’s  chedetofficial  motion of no confidence against PM Muhyiddin Yassin is not going to see the light of day on May 18 as Parliament has changed the Agenda to having only the official opening by the King and no sitting due to the Covid19   situation   https twittercomKLReporterst atus1258684531940286465   … pictwittercom0sNwQQlB4p
364,Thank you Belfast ME Such a great little town Maine is quiet so far as far as civil unrest goes Lots of spouting off online  threatening to drive over protestors if they have a chance though Also luckily the  COVID19   situation  is not so bad in this area compared to SO ME
365,How students suppose to pay rent at  covid19   situation  requesting Government to forgive 3 months rents PromoteStudentsSaveFuture
366,Ion usually do stuff like this on social media but atm my uncle is on a ventilator fightin’  Covid19  I’m not askin’ for anything I just know that sometimes we don’t take things seriously till they happen to us or the ppl close to us So I hope that my uncle’s  situation  can open
367,Feeling anxious about the whole  COVID19   situation  Here’s some tips to help you ease that anxiety mentalhealthishealth https twittercomNIMHgovstatus 1262749531482910727   …
368,Entire  India   lockdown  till 3 May Lockdown2
369,Trying to summarize our current COVID19   situation  in two sentences The risk is still high be careful but low enough that some more exposure can happen The healthcare system has some capacity to treat you if youre sick and needs to test more to better determine risk
370,I need some help Unemployed since early March and due to the  covid19   situation  and 28 weeks pregnant Any contribution is greatly appreciated    ffflutterbyyy
371,Will this give a chance for other state govt to implement this sort of lockdown  Situation  on ground not favourable COVID19   https twittercomAhmedshabbir20 status1272470999120793600   …
372,Coronavirus  India  Live Updates  Lockdown  in Mumbai Pune may be extended till May 18 Maharashtra tally6817 coronavirusinindia  COVID2019india  Covid 19india  COVID19outbreak  Lockdown2  lockdownextension  Maharashtra     httpswww businesstodayincurrenteconom ypoliticscoronavirusindialiveupdatesplasmatherapydelhimumbaicaseschennailockdown25aprstory401975html   … pictwittercomOAC8rbUEO3
373,The  situation conditions have improved in some areas in some of the homes For others the military documented a lack of improvement especially in infection prevention and control onpoli  covid19
374,With weak enforcement power Lockdown3  complexities shower Definitions  discretions will matter Confusion  corruption will splatter No option but to shut up  cower   India  lockdown  IndiaFightsCorona  coronaupdatesindia
375,GOI has extended  the validity of Fitness certificate of vehicles Permits Driving License or any other concerned documents affected due to  lockdown  that expired since Feb 1 till June 30  COVID2019india  India  Transport  Permits  Extension  Vehicles pictwittercomBuqXyQ708p
376,Someone on behalf of ReplayLakeview  just let us know how theyre dealing with the COVID19   situation  See more at  https kikipaediacombarreplayboy stownchi   …
377,I wear a mask in any  situation  where physical distancing is not likely to be possible  It is also a signal to others to keep thinking about COVID19  prevention  https twittercomSusanne3003752 1status1267384876082163714   …
378,Lock Down To Continue Till 31st May In  India  lockdown  Lockdown4
379,As we continue to shelterathome because of COVID19  many face dating domestic or genderbased violence  If you or someone you know is in such a  situation  please call the NYC Domestic Violence Hotline at 18006214673 or 911 in an emergency Queens   https onnycgov2ZoblAn  
380,China should be accountable for the unprecedented contagion of COVID19  globally As they should not be very secretive about the first coronavirus epicenter in Wuhan And the present  situation  of a tentative war between India and China delivers a possibility of global doldrum
381,21 days  Lockdown  United we fall divided we stand just for this exception  corona  st  lockdown  lock  india  indiaunderlockdown  hope  faith  prosperity  prosper  prosperous  everything  will  return  just …  httpswww instagramcompBJIWd3Hojd igshidqgbq32dz8mnl   …
382,Hope it will create a conducive atmosphere in management system of the govt to meet the challenges before us due to  extension  of  Lockdown  till 3rd May 20 Wish you a Grand Success
383,Just think about them who are working in this  situation  with preventive measures If everyone start saying no to all work in the name of  COVID19  outbreak what the  situation  will be  The exam will going to be held just for a day We will appear with all preventive measures
384,Can you explain why the Jacobsen believes renewable diesel supplies may be uniquely unaffected by the Covid19   situation   BioFuels  RenewableDiesel    Learn more about Market Intelligence insights at  http owlycLbc50zrcR1   pictwittercomA36S2RLutY
385,If you know the information asked by someone just pass it on In this  situation  we should walk hand in hand Please dont play the blame game here Thanks
386,What song best describes your current  situation  because of  COVID19  Some states are opening up some are extending the lockdown
387,Could someone post link to the experts who accurately predicted the how the coronavirus  situation  would play out I keep seeing people say listen to the experts Just need some clarity on whos word we are supposed to take on these matters COVID19  coronavirus
388,Believe it or not narendramodi  admin has done best against  COVID19   situation  across globe 
389,Given today’s launch of TestTrackAndTrace  which depends on public trust to succeed BorisJohnson  must show some integrity and get a grip of the  situation  by firing DominicCummings  so we have a chance of beating Covid19  and getting UK economy back on track   DurhamPolice
390,When effective medicines for COVID19  are found we risk a  situation  where some countries can afford it  but others cant  Lives depend on ensuring access to medicines is equitable   http bitlydollarperday     access2meds  science4all  treatpeopleright pictwittercomJFIMQ1AnGz
391,Koreas  covid19   situation  is so under control that dramatvmovie filming are going on with no masks albeit with no crowds or audience So other than events with large congregations  schools Korea is more or less back to normal
392,In jmiuofficial  hostel authorities r going to  unlock  or break the lock of the rooms  Almirah to sanitise when most of us left crucial belongings in hostel rooms before  lockdown  or recently Safety of our belongings  ugc india  ndtv  HRDMinistry  JamiaStopHarassingStudents
393,Time for some coffee  during COVID19  Just a song I wrote during my boredom about this whole  situation   https soundcloudcomalonganon80h dcoffee   …
394,Such a reminder will give heart attack to someone in this  situation  of  covid19
395,Only in  India  Major decision like country wide  lockdown  will be announced in Hindi by the Prime Minister of  India   Lockdown2  3rd may PMDoesNotCare
396,BIG BREAKING  Lockdown  has been extended by another Two weeks till May 17 Lockdown3  Corona  Covid19  BT India   pictwittercomarfGoz7TjK
397,Like other sections of GoI HRDMinistry  as also ugcindia   seem to be clueless about the fallout of Covid19 In this extraordinary  situation  students should not sufferAny society that doesn’t SpendEnoughOnEducation  promotes inequalitynsui  INCIndia  WaiveFeePromoteStudents
398,With  lockdown   extension  likely Centre focuses on plans to ease some restrictions   India  News – Times of  India   https khabarbazicomwithlockdown extensionlikelycentrefocusesonplanstoeasesomerestrictionsindianewstimesofindia   …
399,Im not mad at BTS or to Jungkook Im just clearly saying on my 1st comment that they shld be educated abt  covid19  I honestly think if only he was well informed about the global effect and the current  situation  WW nt just in Korea he wouldnt do it
400,I can fix this fuckin global  situation   it just need to I do something  Believe me  it’s because of me not China    Corona  covid19  Quarantine
401,Spoke to koat7news  recently about NM’s unemployment insurance  situation  and the potential impact that the covid19  shutdown could have on businesses in our State if unemployment insurance rates skyrocket as they did just over a decade ago  httpswww koatcomarticleunempl oymentmoneyrunningdry32855584   …  NMRestaurants pictwittercomA8SZn7bR0p
402,How students suppose to pay rent at  covid19   situation  requesting Government to forgive 3 months rents PromoteStudentsSaveFuture
403,3rd May  Lockdown  Increased in  India  Lockdown2  coronavirus  CoronavirusOutbreakindia  Lockdown
404, CMOOdisha  NaveenOdisha  HFWOdisha  HRDMinistry  DrRPNishank  Seems like the  situation  is under control for final year students of BPUT  We are also humans our life also matters How can you just take it for granted Please dont put us in the trap of COVID19  BPUTStopKaroNa https twittercomDrRPNishankst atus1269499280005361666   …
405,Lockdown  in  India  extended upto May 3   Lockdown2  ModiMangalMessage
406, MORTHIndia  Sir Vehicles of BS4 Registration was declined by Transport Dept due on  covid   lockdown   extension  till 03 may 2020 inclusive of Curfew Ban how were we suppose to register our vehicles
407,I felt bad when some people in the infosec  community are trying to find security problems in apps meant to combat COVID19  and make jokes with them while the whole world is trying to find solutions to overcome this  situation 
408,Due to the current changing  situation  and reduced workforce it is likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
409,This is what Bill Gates spoke of in his TedTalk years ago It only makes sense to prepare for a potential  situation  even if its unlikely like the Armed forces do But people want to believe conspiracies that BG created  COVID19  instead of understanding that he just used his head
410,The LMRA launched the grace period for those who may found themselves on the wrong side of the law to rectify their  situation  without having to pay penalties or trace any legal procedures    https bitly2TgxRY6     Bahrain  BahrainthisWeek  LMRA  Amnesty  Covid19   pictwittercomYXHfamwAmG
411,Imagine the spirit of protest even in the  situation  of  CoVid19
412, ChouhanShivraj  Mr CMhow could our education system became like Japans education system becouse we are only focused in taking exams even in this worse  situation  of  covid19
413,Its  Lockdown  or  Unlock  Watch it now  https youtubeZjOGH5JxKEs    unlockone  Lockdown5  Unlock  India   ZeeNews  narendramodi  RASHTRAVARDHAN  rashtrapatibhvn pictwittercomgWgT6jE6R9
414,Big deal Boris knows most of us know we have not got 50 of the answers on  covid19  yet its a highly fluid and developing  situation  something which the media cant or wont admit
415,Any  situation  is a moneymaking  situation  Wondering if this is the condition the most developed then could not imagine the condition of developing  innovativeideas  science  biotech  covid19  coronavirus  alivingmind pictwittercomIiG5P91lFy
416,Its  going out of hand Never possible in country like  India  COVID19  Lockdown3  MigrantLabourers  LiquorShops  BJP
417,It feels like a twilight zone between  Lockdown  50 and  Unlock  10 Makes me wonder how successful the  lockdown  has been in  India  COVID19India
418, SkySportsNews  has temporarily loss service Better than seeing repeats of those horrible journalists on SundaySupp  who couldn’t care less about COVID19   situation deaths  trying to force football back Horrible people the lot of them sat behind their screens hiding away
419,and they even blamed  covid19  smh its their fault for having bad organisation in this kind of  situation 
420,While the lockdown may certainly be a stressful   situation  cognitive  restructuring techniques may promise some respite from the increased tension  So do give them a try  covid19  stress  strongertogether  MentalHealthAwarenessMonth  lockdown2020  psychology  HealthForAll pictwittercomqymB60AeJt
421,101  chance that lockdown  will be extend  after 3rd may till may20 In most of the states of  india                             No new Covid  19  Cases after may 16  says VK paulNITIAayog    lockdown3  LockdownExtended  StayHome  StaySafeStayHome pictwittercoma6NUjrDZpB
422,Sports Authority of  India  extends the suspension of camps until May 3  Lockdown2  SAI  COVID19  coronavirus  IndiaFightsCorona pictwittercomXRvJZ6myiz
423,In jmiuofficial  hostel authorities r going to  unlock  or break the lock of the rooms  Almirah to sanitise when most of us left crucial belongings in hostel rooms before  lockdown  or recently Safety of our belongings  ugc india  ndtv  HRDMinistry  JamiaStopHarassingStudents
424,‘Prevention is better than cure’ so aptly applies to covid19   situation  Unfortunately people  are divided though  some demand to lift lockdown some want it to be in place
425,This is a pretty damning reporting on  situation  faced by migrant workers during COVID19     https migrantworkersallianceorgwpcontentupl oads202006UnheededWarningsCOVID19andMigrantWorkerspdf   …
426,Best thing is to just remove yourself from the  situation  and walk very far away they probably got  COVID19 
427,India  extends Lockdown  till May 17  TimesNow  TimesNowHindi   Lockdown3  LockdownExtended  LockdownTillMay17
428,Keep Yourself Safe in This COVID19   Situation  Here Some Tips From Team Bazinga When Your Are Buying  Selling on  http Bazingaae    or Any Other Website Keep Visiting  https bazingaae      Statyathome  SocialDistancing  CoronaVirus  FreeClassifieds  UAEClassifieds pictwittercomcCriiRYQY2
429,With so many conditions in the latest Lockdown   extension  I wonder how many people will learn about it  The city dwellers may learn it from dailies TVs etc but does rural  India  has similar connectivity and provisions to get updates especially during the Lockdown  
430,Ive just posted a new blog Coronavirus in  India  As  lockdown   extension  possibility looms ministers to go to  https ifttt2Kaa6vX  
431,Its time to come together and fight against the COVID19   situation  and try to build some good tech solutions CallForCode  IBM  ibmin    https ibmco3bEM5sT   pictwittercoma83d2D9uQW
432,Motorola Razr 2019  India  Sale Date Postponed Once Again to May 6 Post  Lockdown   Extension   https nandemoarucommotorolarazr 2019indiasaledatepostponedonceagaintomay6postlockdownextension2   …
433,In what other  situation  would we have made such a business decision based on terms so profoundly unclear And much remains unclear even now halfway through the period to which the loan applies  https bitly3cHKlQd    COVID19  PPPLoan  LoanForgiveness
434,Sadly a lot of organizations and think thanks to keep themselves employed or to gain funds Say different things will happen once  COVID19   situation  has ended
435,For  situation  of getting a injection  1mgOfficial  or any medical startup or MEDTECH  might be you able to help You guys have a fleet of operating Phlebotomist on the ground and if 1 has prescription for injection you can help them take injection and save there life COVID19
436,Lockdown  has been extended in  India  till 17 May lockdown  lockdownextension  Lockdown3  LockdownExtended  Lockdownlevel4 httpswww indiatodayinindiastoryco vid19mhaextendsnationwidelockdownbyanother14days167339420200501   …
437,As another bank holiday weekend during COVID19  rolls around remember that you could be the difference for a young person locked down in a difficult  situation  onekindact  traumainformed  aces pictwittercomsdQO9UrYQR
438,NOW live webinar about the current  situation   impact of COVID19  possible solutions and joint efforts with businesses  civilsociety  to StopChildLabour   1030 CET    http tinyccpxrmqz   pictwittercom4iSu5QvldW
439,PM Narendra Modi   Lockdown  will be extended across  India  till May 3 Indians   Lockdown2   pictwittercomCkQOrAy5fP
440, Pakistan  is at 15th spot in most affected countries of COVID19  Ministers are saying that death rate is blow than they had estimated Now who is responsible for this  situation  Who will own the blame  leadership or people CoronaFreePakistan
441,It may be the overall serious  situation  of COVID19  in the UK that caused the panic among some about the inflammatory syndrome in children Its fear of the unknown that contributes to panic  Good for parents to be able to access information about disease helps prevent panic
442,Is this important Please take some drastic steps to control  covid19   situation  Its almost 2 months and still cases are increasing day by day
443,May the 4th be with you  Lockdown2    PM Modi today extended  India  lockdown  till 3rd May  pictwittercomCjibh6ig8N
444, Lockdown2   Lockdown  in  india  furthermore increases upto May 3rd  Stay indoor  Stay safe
445,I usually try to keep it pretty light on Twitter but sad to share that I was officially laid off due to  COVID19  today   Nothing but good things to say about my time at LatticeHQ     My heart hurts for anyone thats been put in a  situation  like this
446, LockdownExtended    India  extends nationwide  lockdown  till May 31    httpswww businessinsiderinindianewsnat ionwidelockdownextendedtillmay31tocontaincovid19spreadndmaarticleshow75790082cms   …   Lockdown4  lockdownextension  lockdown  IndiaFightsCoronavirus
447,How students suppose to pay rent at  covid19   situation  requesting Government to forgive 3 months rents PromoteStudentsSaveFuture
448,Lockdown  extended till May 17th in  India  Lockdown3
449,India  announces  extension  of  lockdown  period till 31 May 2020 Lockdown4  LockdownExtended pictwittercomq0d6PbKhwm
450, CanRevAgency  please allow email option for first time tax payers filing tax returns during the present  covid19  lockdown  situation  Print almost 30 pages  mail post options are difficult  not easily accessible for some
451,Has your state or country handled the  COVID19   situation  well
452,Im 32 weeks pregnant and unemployed due to  covid19   situation  since early March Any contribution is greatly appreciated   On top of that I just crash my car   Needing a blessing today
453,When are the supposed  lockdown  40 guidelines expected It’s 17th Already PMOIndia  MoHFW INDIA  ArvindKejriwal  LtGovDelhi  Lockdown4
454,Has anyone called in buffythevampireslayer  yet to like check out this  situation  It could be bunnies SarahMichelleGG  emmacaulfield  COVID19  evil  bunnies  sundayvibes  JustSayin
455, Lockdown  extended across India  till May 31  Lockdown4  guidelines to be issued will likely see some Relaxations in Air  travel
456, IndiaFightsCorona   COVID19  can be cured  If you develop any symptoms dont hesitate to report early     Immediately call 1075 toll free    TiraskarNahiTilakKaro  HealthForAll  SwasthaBharat  CoronaOutbreak  Lockdown4  MoHFW INDIA  TicketNewMovies pictwittercomjGpa9Em7KO
457,HI We are working as quickly as possible to process refunds although they are taking longer than usual due to the  Covid19   situation If you would like to DM us the details we can check refund progress for you DM response is around 5 days currently DQ
458,Time to lock down again in Kalaburagi else  situation  may worsen
459,Préoccupée par la  situation  en santé et vous  PortezLeX  MobilisationEnSante   BasLesMasques  covid19  infirmieres  infirmiers https youtubeGBGC5EmxtM  
460,Dr Taweesin Visanuyothin says Thailand may  be able to reopen largermore crowded businesses in 10 days time May 17  if  situation  remains under control  COVID19  COVID19TH
461,New Delhi CM Arvind Kejriwal said that the  situation  is still under control in Delhi even after the lockdown restrictions were relaxed from 18 May  Delhi  ArvindKejriwal  DelhiCM  CMKejriwal  CoronaVirusInDelhi  Covid19  CoronaVirus  MangoNews pictwittercom4GY1na59M8
462,From The Economist Espresso Third time lucky  India ’s  lockdown   extension   https espressoeconomistcom9b0f4932ee013e c1b2afb5057c2d34e8   …
463,Id like to think she has no comprehension of whats going on   Trevor Salomon whose wife Yvonne is in a care home with dementia says he hopes she doesnt understand the  situation  with Covid19  as he believes it would scare her more than shes already scared   Newsnight pictwittercomLZuvi2Up7p
464,Due to the current changing  situation  and reduced workforce Its likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
465,Its the last ShamelessSelfpromoSaturday  of May The COVID19   situation  is causing a lot of writers  to be out of income Readerscommunity  please consider buying some books from indieauthors  for your quarantinereads  WritingCommunity  drop your links for readers  pictwittercomVtcBRptMAF
466,Lockdown  20 is extended till 3rd May in  India   BeatTheVirus  ModiMangalMessage  Lockdown2  LockdownExtended
467, LockDown 3  Looking at the current scenario of COVID19  cases in India  It Seems that Lockdown  should be extended for some more period Just give your suggestions on that IndiaFightsCoronavirus  lockdownextension  Lockdown3  NarendraModi  WeBuildup  PMOfIndia
468,Definition of epicentre in this instance the central point of something typically a difficult or unpleasant  situation  Covid19  both difficult and unpleasant Id say
469,Incredible writing doctoroxford  this is a must read for anyone doubting the devastating reality of COVID19   httpswww theguardiancombooks2020may 30thismanknowshesdyingassurelyasidoadoctorsdispatchesfromintensivecare   …  Heartfelt thank you for writing Anyone who doubts our precarious covid19   situation  needs to read
470,As we are in the midst of  covid19  pandemicin case of any emergencys here in Kashmirhow can one call the doctor or administration for helpno contactspathetic  situation  here in KashmirRIPinternetRIPmobile phones
471,Do you reckon teachers will be scared of tutoring kids on a 1 on 1 basis for the transfer test in light of  Covid19  concerns or would they only be scared of teaching in a school  situation 
472, FISA Gate Obama Gate Covid19 Gate DEMN  Compared with these Watergate  was a gentle breeze  BTW Im no REP or DEM lover just following the developing  situation  for a long time…
473,“It’s really a pretty dire  situation  that’s hard in good times and then when something like this happens  ICYMI  UAgradcoalition  organizes amid coronavirus  calls for transparency  consideration in the University of Arizona s COVID19  response    httpswww koldcom20200506uni versityarizonagraduatestudentscalltransparencyconsiderationcoronavirusresponse   …
474,It’s the state versus doctors Will doctors stand up to it To inform public how they are being continuously misled false narrative on covid19  and how dangerous  situation  is pakistan  someone please do something 
475,It is an important information but it does not mean that children either immune or cannot spread COVID19   Furthermore COVID19  virus mutates and  situation  might change in the future  https twittercomReutersstatus 1262856807074148352   …
476,Even after overcoming the covid19  situation  well have to maintain the PPEs in our daily life for further facing any kind of bad type of diseases in future Bangladesh  covid19  UNEP    UNDP    UNICEF    UNICEFBD    bbcbangla
477,Instead of this gaga over the praise the world is heaping on  India   lockdown  probably imaginery can we have some clarity of Lockdown4   Stop this confusion Govt must offer clarity this is being disrespectful to the public  UdhavThackeray
478,If Newcastle today is anything to go by we might as well open the schools  everything else on Monday or would families packing out town today on day trips  ignoring any social distancing object Unbelievable  situation   zero presence of nmdcouncil   PSNI that I saw COVID19
479,Alright Im talking about how we should react to the  situation  we are facing right now ie  covid19  related  situation  race issue around the globe   Yes I understand everyone is having a hard time during this  situation  Plus we care about any covid related policies
480, Throwback Thursday     Remember when we wondered what business ideas would come out of the Coronavirus   COVID19   situation    Check out this article to “unmask” what one might be and how it could benefit people with disability and support workers   https buffly2MrgoII   pictwittercomvpQWuiaKsp
481,HOPE is the only life driver we have now as blacks and in this Coronavirus  situation  BlackLivesMattter  covid19
482,Hi Rachcita    We understand the  situation  DHFWKA  Could be able to assist you more in this regard  Regards Covid19Karnataka
483,India  may see first contraction in 40 years on  lockdown   extension   http economictimesindiatimescomnewseconomyi ndicatorsindiamayseefirstcontractionin40yearsonlockdownextensionarticleshow75158559cms   …
484, CyrilRamaphosa  did everything he thought was just  right to save lives  save our country please stop placing judgement  just accept he didnt choose for us to be in this  situation  COVID19  did so just STOP ALREADY  theres a reason his the president  not you 
485,India ’s disaster management authority seeks  lockdown   extension  to May 31  https newsreporteronlinecom20200517ind iasdisastermanagementauthorityseekslockdownextensiontomay31   …
486,Wow Lucky That Your Getting Funds not everyone is Lucky Or not everyone have resource in this COVID19   situation   But happy for you Congratulations I hope my day will also come  Hope for bestThanks DreamHack
487,Galvez Nakita po natin na because of the lack of the vaccine sinasabi po ng ating mahal na Presidente na the COVID19   situation  might stay until maybe mga 18 months or even 2 years Ang preparation po natin talaga ay yung tinatawag na minimum health standards o yung new normal
488, Covid19  could have started anywhere and China  identified it first  What this could mean is a new respiratory strain could start up anywhere  We need to always be prepared to take the  situation  seriously
489,Well if anyone wants some ideas about why the COVID19   situation  is so bad in care homes my mum had a test today and was told it will take a week to get the result back Meanwhile they’re happy for her to mix with the other residents
490,  Worldwide  COVID19  PANDEMIC     Wearing the BEST nose  mouth mask you can in a  situation  that may cause your DEATH is logical for some people  Some dont care or worse   Mask  Eye Goggles  Gloves   Be Safe  Be an Example  Be Healthy         
491,Racist unprofessional and childish behaviour but not surprising from realDonaldTrump  just like BorisJohnson  cant stand being questioned especially when its a difficult  situation  COVID19  TrumpMeltdown  Covid19UK
492,Trumps brain Everyone seems angry about this police racismbrutality  situation  its my duty as President to do something I know Ill go on a mental rant about ChinaObama then leave WHO during a pandemic despite USA leading the world in  COVID19  casesdeaths as distraction   pictwittercomL7ILjOZ9RD
493,Current  situation  of the COVID19  in Malaysia as of May 14 2020 5pm   StayAtHome                                      sayonaracorona  KitaJagaKita pictwittercomPXl9Fp9kgS
494,Sorry  India  we dont have any other option except  Lockdown  vaccination is far from ready Lockdown4  lockdownindia  Lockdown4point0  Covid  19
495, ArvindKejriwal  raghavchadha  drharshvardhan    Called Pt madan Mohan Malviya hospital so many times but no answered any call Can you pls do something wo any formalities pls make things easy due to  COVID19   situation  is different for all of us  pictwittercomWuVIzFMUOu
496,Just going to throw it out there but on the basis our hospitals haven’t been overrun and we haven’t had scenes like Italy and Spain had with  covid19  I’d say the  situation  could have been A LOT worse in the UK and HMG have actually done a pretty reasonable job
497,Watching a thick Muppet  Who first hand knows how serious having  Covid19  is Even MPs are questioning the  situation
498,Times like these can be financially challenging for many Unfortunately some individuals may try to take advantage of this precarious  situation   Stay healthy stay safe Team IDShield Canada    httpswww idshieldca      IDShield  Reputation  Privacy  COVID19  COVID19Pandemic pictwittercomH56zhXF5YW
499,I have saw some pictures of gathering of peoples during Ramadan at pirbhadiyad  Subdist Mahudha  Dist kheda  It’s really dangerous for the  Covid19   situation  please do something about it sir devusinh
500, India  may see first GDP  contraction since 1980 on  lockdown   extension    httpswww gulftimescomstory660886  
501,VIDEO Prime Minister NarendraModi  says  India   lockdown  extended till 3rd May Lockdown2   narendramodi pictwittercomtTl3ePlbdd
502,Lockdown  extended till May 17 in India   Coronavirus  Lockdown3  LockdownExtention
503,The poor in  India  have two choices either die of hunger or died of COVID19  PMOIndia    HelpTheHungry  Lockdown3   pictwittercomOMeJKMK2N4
504,Hi I am also facing same  situation  Have you got any reply from DHFWKA
505,Lock down  extension  is good decession But one problem govt do everything for poors What about midle class people like us Our income source is from shop Which is close due to  lockdown  So how can we survive So do something for midlclass like us 
506,Even  lockdown  50 be imposed  India  will still keep loosing mother father Brother friend  Lockdown  for  corona  turned out be a gateway for hungry  suffering A baby lost her mother but could not even understand Mother is dead Heart is breaking STOP Lockdown5   lockdownindia
507,COVID  19   lockdown   extension    India s FY21 GDP may contract to 1 in FY21 ICRA   httpswww moneycontrolcomnewsbusiness covid19lockdownextensionindiasfy21gdpmaycontractto1infy21icra5143791html   …
508,Im teetering on never because Florida has done nothing to improve the  situation  and most of the state seems to be pretending  COVID19  just isnt a thing
509,Paata Imnadze Looking at some of our citizens we may say the  situation  may get worse earlier than we expected COVID2019  COVID19  coronavirus  Georgia  StopCoV  tbilisi httpswww interpressnewsgeenarticle107 930paataimnadzelookingatsomeofourcitizenswemaysaythesituationmaygetworseearlierthanweexpected   …
510,Models or Data Watch JimSinur  and Edward ML Peters PhD discussing  how models and data are needing each other in any given  situation    covid19  or no  covid19   https lnkdindAtj8g     datasciences  dataandanalytics  datamodeling  aipowered  bigdataa … https lnkdindvVDvr  
511,India  May See First Contraction In 40 Years On  Lockdown   Extension    httpswww ndtvcombusinesscoron aviruscovid19crisisindiamayseefirstcontractionin40yearsonlockdownextension2212602   …
512,A nationwide  lockdown  for more than 2 months in a country like  India  speaks a lot about Leadership I dont know how many of you would agree with me but If narendramodi  was not our PM then perhaps we could have been the most affected country by CoronaPandemic    Lockdown4
513,Certainly not the Governance  Reaource  something biological and Spiritual is favouring Subcontinent SLanka 300 Bangla 500 Pak 6000 and  India  11000  This is miraculous  Deaths are 123986280 or so respectively LockdownExtended  Lockdown2  Trump  lockdown
514,New Zealands population is half that of Lahore Literacy rate of 99 vis Pakistan at 50 Any TV anchor or program whowhich insinuates any relevance of  Covid19   situation  in Pakistan with another country is talking BS Each country has its own dynamics
